Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Aluminum Estimator Engineer,Alu Afric for Aluminum industry and trading,"Abu Rawash, Giza, Egypt",15 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Social Media specialist (with Reel Creation skills),Digital Essence ,"Maadi, Cairo, Egypt",15 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
English Teachers ( Alexandria),Egyptian English Language schools,"Mandara, Alexandria, Egypt",15 hours ago,Experienced,1+ Yrs of Exp,Full Time
Accountant,Egpay,"Cairo, Egypt",16 hours ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Architecture Technical Office Manager,Lecon,"Cairo, Egypt",16 hours ago,Manager,7+ Yrs of Exp,Full Time
Senior Architect Designer,Lecon,"Cairo, Egypt",16 hours ago,Experienced,7+ Yrs of Exp,Full Time
Senior Student Affairs Officer,Egyptian Cultural Center,"Nasr City, Cairo, Egypt",16 hours ago,Experienced,2 - 5 Yrs of Exp,Full Time
Non-voice mail&chat (customer service English account) graduates,Etisalat Egypt,"Maadi, Cairo, Egypt",17 hours ago,Entry Level,1 - 7 Yrs of Exp,Full Time
Technical Office Electrical Engineer,Mobco Civil Construction,"Nasr City, Cairo, Egypt",17 hours ago,Experienced,4 - 6 Yrs of Exp,Full Time
Architecture Technical Office Engineer,Mobco Civil Construction,"Nasr City, Cairo, Egypt",17 hours ago,Experienced,3 - 7 Yrs of Exp,Full Time
Bilingual Creative Copywriter,Al-hakeema,"Nasr City, Cairo, Egypt",17 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
Stock Controller,AlGammal Contracting,"Katameya, Cairo, Egypt",17 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Registration Specialist,KZ for Pesticides and Chemicals. ,"Kafr Alzayat, Gharbia, Egypt",17 hours ago,Experienced,2 - 4 Yrs of Exp,Full Time
New Products Senior Business Development,Confidential,"New Nozha, Cairo, Egypt",17 hours ago,Experienced,4 - 6 Yrs of Exp,Full Time
